"first_gene" "second_gene" ""
"673" "NR2C2" "PTGER4" "2"
"674" "NR2C2" "SMAD3" "2"
"675" "NR2C2" "TNFAIP1" "2"
"676" "NR2C2" "YIPF4" "2"
"677" "NT5C2" "RPL12" "2"
"678" "OLFML2A" "PHF7" "2"
"679" "ORC1" "ZNF331" "2"
"680" "OSTM1" "TMEM242" "2"
"681" "OTUD4" "SPIB" "2"
"682" "OTUD4" "PIK3CA" "2"
"683" "OTUD4" "TSKU" "2"
"684" "OTUD4" "TXNIP" "2"
"685" "PAFAH1B1" "PLXNA1" "2"
"686" "PAFAH1B1" "TMBIM6" "2"
"687" "PAIP1" "SIKE1" "2"
"688" "PAK2" "SOX2" "2"
"689" "PAK6" "WIPF2" "2"
"690" "PANK3" "PRKAR1A" "2"
"691" "PANK3" "RAN" "2"
"692" "PARD3" "TMBIM6" "2"
"693" "PBXIP1" "TWF1" "2"
"694" "PBXIP1" "PRPF8" "2"
"695" "PCBP2" "RBL2" "2"
"696" "PCBP2" "TMEM242" "2"
"697" "PCNXL2" "SLC4A7" "2"
"698" "PCNXL2" "PTGIS" "2"
"699" "PCSK2" "SCP2" "2"
"700" "PDGFB" "TEFM" "2"
"701" "PDHB" "REST" "2"
"702" "PDLIM5" "SSX2IP" "2"
"703" "PDLIM5" "PVR" "2"
"704" "PDLIM5" "SLK" "2"
"705" "PDLIM7" "VDAC1" "2"
"706" "PDLIM7" "ZBTB7A" "2"
"707" "PDPK1" "TRA2B" "2"
"708" "PDPK1" "PTPRD" "2"
"709" "PHLPP2" "TLR7" "2"
"710" "PHLPP2" "TRIP10" "2"
"711" "PHTF2" "RBM12B" "2"
"712" "PIGO" "YTHDC1" "2"
"713" "PIP4K2A" "TXNIP" "2"
"714" "PIP4K2C" "PTGES3" "2"
"715" "PKD2" "THBS1" "2"
"716" "PKNOX1" "SLC5A3" "2"
"717" "PKNOX1" "PTP4A1" "2"
"718" "PKNOX1" "SEPT2" "2"
"719" "PLAGL2" "SOCS6" "2"
"720" "PLEKHM1" "POLR3G" "2"
"721" "PLEKHM1" "TCF7L2" "2"
"722" "PLEKHM1" "SKI" "2"
"723" "PLXNA1" "TRAP1" "2"
"724" "POLQ" "TRAPPC10" "2"
"725" "POLQ" "RRAGD" "2"
"726" "POLR1B" "TSR1" "2"
"727" "POLR3F" "WAC" "2"
"728" "POLR3G" "RRM2" "2"
"729" "PPP1CA" "SLC25A44" "2"
"730" "PPP1R15A" "SELE" "2"
"731" "PPP2R1A" "TRA2B" "2"
"732" "PPP2R1A" "VEGFA" "2"
"733" "PPP3R1" "STK17B" "2"
"734" "PPP6R3" "SMAD5" "2"
"735" "PPP6R3" "TXNIP" "2"
"736" "PPP6R3" "TRAF3IP2" "2"
"737" "PRKAR1A" "WSB1" "2"
"738" "PRKCB" "PTP4A1" "2"
"739" "PSD3" "SLC4A7" "2"
"740" "PSD3" "SUV420H1" "2"
"741" "PSD3" "TGOLN2" "2"
"742" "PTGES3" "VDAC1" "2"
"743" "PTPN4" "WSB1" "2"
"744" "PTRF" "TNFAIP1" "2"
"745" "PTTG1" "RRM2" "2"
"746" "QARS" "SGPL1" "2"
"747" "QKI" "TNFRSF21" "2"
"748" "QKI" "RNASEH1" "2"
"749" "QKI" "TCEAL1" "2"
"750" "RAB22A" "RBM12B" "2"
"751" "RAB22A" "TUBB4B" "2"
"752" "RAB5B" "TMBIM6" "2"
"753" "RABEP1" "WIPF2" "2"
"754" "RABGAP1L" "YIPF4" "2"
"755" "RABGAP1L" "SUGP1" "2"
"756" "RAN" "YWHAZ" "2"
"757" "RAN" "UBE2V2" "2"
"758" "RAPGEF4" "SOCS5" "2"
"759" "RAPGEF4" "SSX2IP" "2"
"760" "RB1" "SLK" "2"
"761" "RB1" "YES1" "2"
"762" "RBBP7" "TSR1" "2"
"763" "RBM12B" "ZNF107" "2"
"764" "REV1" "SP4" "2"
"765" "RFK" "ZBTB7A" "2"
"766" "RFXANK" "VEGFA" "2"
"767" "RFXANK" "YOD1" "2"
"768" "RLF" "TSR1" "2"
"769" "RMND1" "SYNDIG1" "2"
"770" "RORA" "SEPT11" "2"
"771" "RPL14" "SOX4" "2"
"772" "RPL14" "RPL7" "2"
"773" "RPL19" "RPS18" "2"
"774" "RPL3" "RPS4X" "2"
"775" "RPL37" "RPS27" "2"
"776" "RPS15A" "SLC25A16" "2"
"777" "RPS27A" "TMEM123" "2"
"778" "RPS6KA5" "YWHAZ" "2"
"779" "SCAMP2" "SOCS6" "2"
"780" "SCD" "SMAD3" "2"
"781" "SEC23A" "WIPF2" "2"
"782" "SEC23A" "ZNF93" "2"
"783" "SELE" "TRAF3IP2" "2"
"784" "SEPT11" "TMSB10" "2"
"785" "SF3B3" "SGSH" "2"
"786" "SH3BP5" "TFAM" "2"
"787" "SH3GLB1" "WAC" "2"
"788" "SH3GLB2" "UBE2S" "2"
"789" "SLC25A16" "TIMM8A" "2"
"790" "SLC25A16" "XRCC2" "2"
"791" "SLC25A3" "TCEB1" "2"
"792" "SLC25A3" "TRIOBP" "2"
"793" "SLC4A7" "TXK" "2"
"794" "SLC5A3" "TNFAIP1" "2"
"795" "SLC7A11" "TCF3" "2"
"796" "SLC7A11" "WIPF2" "2"
"797" "SLC7A11" "TBL1XR1" "2"
"798" "SMURF1" "ZBTB7A" "2"
"799" "SOCS5" "WIPF2" "2"
"800" "SOX4" "TCF3" "2"
"801" "SOX4" "YES1" "2"
"802" "SOX4" "TSPAN6" "2"
"803" "SP4" "ZNF12" "2"
"804" "SPTLC2" "TGOLN2" "2"
"805" "SPTLC2" "WIPF2" "2"
"806" "SPTLC2" "TBL1XR1" "2"
"807" "SRSF7" "TRIOBP" "2"
"808" "SSX2IP" "TMEM134" "2"
"809" "STIL" "UBE2C" "2"
"810" "STK11" "TCF3" "2"
"811" "STX16" "TCF7L2" "2"
"812" "STX6" "VPS26A" "2"
"813" "SUV420H1" "TTC9" "2"
"814" "TAF9B" "WIPF2" "2"
"815" "TAF9B" "TXK" "2"
"816" "TBC1D17" "VPS26A" "2"
"817" "TBXA2R" "TNFRSF13B" "2"
"818" "TCF3" "TSC2" "2"
"819" "TCF3" "TNFRSF10B" "2"
"820" "TCF4" "TCF7L2" "2"
"821" "TCF4" "WSB1" "2"
"822" "TCF4" "ZBTB25" "2"
"823" "TCF7L2" "TPM4" "2"
"824" "TCF7L2" "TPD52L1" "2"
"825" "TGFB1" "TRAF3IP2" "2"
"826" "TGOLN2" "ZNF174" "2"
"827" "THBS1" "TLR7" "2"
"828" "TIMM8A" "XRCC2" "2"
"829" "TIMP3" "ZNF180" "2"
"830" "TLR7" "WIPF2" "2"
"831" "TNRC6B" "UBE3C" "2"
"832" "TP53" "ZNF665" "2"
"833" "TRA2B" "YOD1" "2"
"834" "TRAPPC10" "ZBTB6" "2"
"835" "TRRAP" "U2SURP" "2"
"836" "TSC2" "USP48" "2"
"837" "TSR1" "WDR1" "2"
"838" "TWF1" "VPS13C" "2"
"839" "VEGFA" "VPS13C" "2"
"840" "VPS13C" "YTHDC1" "2"
"841" "YWHAZ" "ZNF43" "2"
"842" "ZBTB5" "ZNF180" "2"
